Gene,Group,Categorical Score
OPML1_NUTM2B-AS1,criTRia,Moderate
PRTS_ARX,Clingen,Definitive
PRTS_ARX,Ambry,Moderate
PRTS_ARX,G2P,Definitive
PRTS_ARX,PanelApp,Strong
PRTS_ARX,Orphanet,Supportive
PRTS_ARX,criTRia,Definitive
RCPS_EIF4A3,Ambry,Moderate
RCPS_EIF4A3,G2P,Definitive
RCPS_EIF4A3,PanelApp,Strong
RCPS_EIF4A3,Labcorp,Strong
RCPS_EIF4A3,Orphanet,Supportive
RCPS_EIF4A3,criTRia,Definitive
SBMA_AR,Clingen,Definitive
SBMA_AR,Ambry,Strong
SBMA_AR,G2P,Definitive
SBMA_AR,Labcorp,Strong
SBMA_AR,Orphanet,Supportive
SCA51_THAP11,Clingen,Limited
SCA51_THAP11,criTRia,Strong
SCA1_ATXN1,Ambry,Moderate
SCA1_ATXN1,Labcorp,Strong
SCA1_ATXN1,Orphanet,Supportive
SCA1_ATXN1,criTRia,Definitive
SCA10_ATXN10,Labcorp,Strong
SCA10_ATXN10,Orphanet,Supportive
SCA10_ATXN10,criTRia,Definitive
SCA12_PPP2R2B,Ambry,Moderate
SCA12_PPP2R2B,Labcorp,Strong
SCA12_PPP2R2B,Orphanet,Supportive
SCA12_PPP2R2B,criTRia,Definitive
SCA17_TBP,Ambry,Strong
SCA17_TBP,Labcorp,Strong
SCA17_TBP,Lab MM,Definitive
SCA17_TBP,criTRia,Definitive
SCA17_TBP,Orphanet,Supportive
SCA2_ATXN2,Clingen,Definitive
SCA2_ATXN2,Ambry,Definitive
SCA2_ATXN2,Orphanet,Supportive
SCA2_ATXN2,criTRia,Definitive
SCA27B_FGF14,Ambry,Moderate
SCA27B_FGF14,PanelApp,Strong
SCA27B_FGF14,Labcorp,Strong
SCA27B_FGF14,Orphanet,Supportive
SCA27B_FGF14,criTRia,Definitive
SCA3_ATXN3,Ambry,Strong
SCA3_ATXN3,Labcorp,Strong
SCA3_ATXN3,Lab MM,Definitive
SCA3_ATXN3,Orphanet,Supportive
SCA3_ATXN3,criTRia,Definitive
SCA31_BEAN1,Ambry,Limited
SCA31_BEAN1,Labcorp,Strong
SCA31_BEAN1,Orphanet,Supportive
SCA31_BEAN1,criTRia,Definitive
SCA36_NOP56,Ambry,Definitive
SCA36_NOP56,Labcorp,Strong
SCA36_NOP56,Orphanet,Supportive
SCA36_NOP56,criTRia,Definitive
SCA37_DAB1,PanelApp,Strong
SCA37_DAB1,Labcorp,Limited
SCA37_DAB1,Orphanet,Supportive
SCA37_DAB1,criTRia,Strong
SCA4_ZFHX3,Ambry,Moderate
SCA4_ZFHX3,PanelApp,Strong
SCA4_ZFHX3,criTRia,Definitive
SCA6_CACNA1A,Ambry,Strong
SCA6_CACNA1A,PanelApp,Strong
SCA6_CACNA1A,Labcorp,Strong
SCA6_CACNA1A,Orphanet,Supportive
SCA6_CACNA1A,criTRia,Definitive
SCA7_ATXN7,Ambry,Moderate
SCA7_ATXN7,G2P,Definitive
SCA7_ATXN7,Labcorp,Strong
SCA7_ATXN7,Orphanet,Supportive
SCA7_ATXN7,criTRia,Definitive
SCA8_ATXN8OS,Ambry,Moderate
SCA8_ATXN8OS,criTRia,Definitive
SD5_HOXD13,G2P,Definitive
SD5_HOXD13,PanelApp,Strong
SD5_HOXD13,Labcorp,Strong
SD5_HOXD13,Lab MM,Strong
SD5_HOXD13,Orphanet,Supportive
SD5_HOXD13,criTRia,Definitive
TOF_TBX1,Ambry,Definitive
TOF_TBX1,criTRia,Limited
VACTERLX_ZIC3,Ambry,Moderate
VACTERLX_ZIC3,G2P,Strong
VACTERLX_ZIC3,PanelApp,Definitive
VACTERLX_ZIC3,Labcorp,Strong
VACTERLX_ZIC3,criTRia,Limited
XDP_TAF1,Ambry,Strong
XDP_TAF1,G2P,Definitive
XDP_TAF1,PanelApp,Strong
XDP_TAF1,Illumina,Definitive
XDP_TAF1,Labcorp,Strong
XDP_TAF1,Orphanet,Supportive
XDP_TAF1,criTRia,Definitive
XLID_SOX3,Clingen,Moderate
XLID_SOX3,Ambry,Limited
XLID_SOX3,G2P,Definitive
XLID_SOX3,Labcorp,Strong
XLID_SOX3,Orphanet,Supportive
XLID_SOX3,criTRia,Definitive
